name_alessi,E(B-V),s_E(B-V),A_V_calc,s_A_V_calc,AV50,s_AV50,E(BP-RP),s_E(BP-RP),E(U-B),s_E(U-B),E(U-BP),s_E(U-BP),E(U-G),s_E(U-G),E(U-RP),s_E(U-RP)
Minni_37,0.69635,0.0543419348843678,2.158685,0.1684599981415402,2.440291215,0.039708785,1.0551,0.0267926956300783,0.4726,0.0126,1.0476,0.0126000000000001,1.5401,0.0001,1.9851,0.1401
Moffat_1,0.7701,0.0267926956300783,2.3873100000000003,0.08305735645324273,2.494106235,0.494106234999999,1.1651,0.0248487373415292,0.3751,0.0351,0.9676,0.0326,1.5476,0.0126000000000001,2.1451,0.0201
Moffat_2,0.67385,0.0148372826531895,2.0889349999999998,0.04599557622488745,2.665186265,0.164813735,1.0326,0.0161078105935822,0.4051,0.00509999999999998,0.8801,0.0001,1.3551,0.00510000000000001,1.9226,0.0176
Moffat-Fitzgerald_1,0.4301,0.00717106781186548,1.33331,0.022230310216782987,1.83902901,0.09097099,0.6776,0.0130903810567665,0.1826,0.0026,0.4576,0.0126,0.7551,0.0001,1.1351,0.0201
Muzzio_1,0.53885,0.0231149407994024,1.6704350000000001,0.07165631647814744,3.61679113,0.23679113,0.9151,0.0283842712474619,0.2901,0.00510000000000001,0.7176,0.00760000000000001,1.0926,0.0276000000000001,1.5776,0.0626
NGC_1027,0.36135,0.0065951905283833,1.120185,0.02044509063798823,1.34739072,0.11260928,0.5826,0.0183002747232013,0.2576,0.0026,0.5226,0.0176,0.7826,0.0326,1.0801,0.0600999999999999
NGC_103,0.43385,0.00554862367942585,1.344935,0.017200733406220133,1.457390015,0.052609985,0.6851,0.00876025403784435,0.1976,0.00759999999999999,0.4976,0.0026,0.7626,0.0126,1.1901,0.00510000000000001
NGC_1220,0.7576,0.0115564392373896,2.3485600000000004,0.03582496163590776,2.437849985,0.032150015,1.0751,0.014242135623731,0.3201,0.00510000000000001,0.8651,0.0001,1.3601,0.00510000000000001,1.9676,0.0276000000000001
NGC_1245,0.28885,0.0125373429638327,0.895435,0.03886576318788137,0.77229345,0.22770655,0.3451,0.0142421356237309,0.2451,0.0101,0.4076,0.00759999999999998,0.5576,0.0326,0.8226,0.0776
NGC_129,0.52635,0.00970143218483577,1.631685,0.030074439772990885,1.76962834,0.03037166,0.8001,0.0184711730708738,0.3426,0.00259999999999997,0.7151,0.0101,1.0576,0.0176,1.4951,0.0400999999999999
NGC_133,0.5351,0.00800569415042095,1.6588100000000001,0.024817651866304948,2.10016816,0.12016816,0.79385,0.00970143218483577,0.0301,0.0201,0.3801,0.0251,0.7226,0.0326,1.2251,0.0801
NGC_1342,0.2901,0.0112803398874989,0.89931,0.03496905365124659,1.31829385,0.04829385,0.48635,0.0185983107336859,0.2426,0.00760000000000001,0.4551,0.0251,0.6151,0.0201,0.9076,0.0526
NGC_1348,0.3456,0.0173699160391705,1.07136,0.053846739721428546,3.05887111,0.0188711100000001,1.1901,0.0204100960115899,0.2911,0.0791000000000001,0.7751,0.1851,1.1801,0.3851,1.6001,0.5401
NGC_1444,0.6351,0.0001,1.96881,0.00031,1.88966925,0.05966925,1.00385,0.00226506350946105,0.4401,0.0301,0.8926,0.0476,1.2951,0.0600999999999999,1.8576,0.0876
NGC_146,0.5051,0.00717106781186548,1.56581,0.022230310216782987,1.639477155,0.0305228449999999,0.7876,0.0179535710713571,0.2651,0.0101,0.6226,0.0326,0.9576,0.0475999999999999,1.4001,0.0451
NGC_1496,0.48635,0.0109253175473055,1.5076850000000002,0.03386848439664705,1.51512422,0.02487578,0.75635,0.0268803566070357,0.3151,0.00510000000000001,0.6526,0.00760000000000001,1.0026,0.0176,1.3976,0.0226
NGC_1502,0.70135,0.00902678553567857,2.174185,0.02798303516060357,2.13426789,0.0357321099999999,1.0476,0.0193028643696715,0.5026,0.0176,1.0251,0.0351,1.4551,0.0551000000000001,2.0301,0.0851000000000001
NGC_1513,0.6826,0.0122757956618859,2.11606,0.038054966551846287,2.14555489,0.0844451100000001,1.00385,0.0164458710382775,0.4651,0.0001,0.9421,0.0281,1.3711,0.0691,1.9351,0.0351
NGC_1528,0.2651,0.00363553390593274,0.82181,0.011270155108391494,0.90883022,0.00883022,0.41885,0.0022650635094611,0.2151,0.0001,0.3926,0.00760000000000001,0.5676,0.0026,0.8026,0.0176
NGC_1545,0.2976,0.00760000000000001,0.9225599999999999,0.023560000000000032,1.053558465,0.0664415350000001,0.44385,0.0065951905283833,0.2401,0.0001,0.4351,0.00510000000000001,0.6276,0.0026,0.9001,0.0201
NGC_1582,0.31885,0.00749509972887453,0.9884350000000001,0.023234809159511045,1.150370135,0.069629865,0.51885,0.0231149407994025,0.2351,0.0001,0.4751,0.0151,0.7076,0.0476,0.9526,0.0576
NGC_1605,0.4026,0.00759999999999998,1.2480600000000002,0.02355999999999994,1.124432225,0.084432225,0.63635,0.0152554445662277,0.2726,0.0026,0.5476,0.0276,0.7976,0.00760000000000001,1.1776,0.0426
NGC_1624,0.6376,0.0144614066163451,1.9765599999999999,0.04483036051066981,2.483955035,0.093955035,0.9801,0.0107066017177982,0.0001,0.0001,0.4426,0.0126,0.8801,0.0001,1.4076,0.0276000000000001
NGC_1647,0.32885,0.0130301005409857,1.0194349999999999,0.04039331167705567,1.354634575,0.00536542500000004,0.52385,0.0139631706330118,0.2876,0.0026,0.5201,0.00510000000000001,0.7126,0.00760000000000001,1.0276,0.0276
NGC_1662,0.2976,0.0026,0.9225599999999999,0.00806,,,0.45885,0.036047009611371,0.2526,0.0126,0.4226,0.0276,0.6851,0.00509999999999995,0.8726,0.0526000000000001
NGC_1664,0.2351,0.00363553390593273,0.7288100000000001,0.011270155108391463,0.717937515,0.002062485,0.3601,0.0118260393995586,0.1901,0.0001,0.3351,0.0001,0.4726,0.00759999999999998,0.7001,0.0001
