  pmRApmDEcor    PlxpmRAcor   PlxpmDEcor    RFG        RFBP          RFRP       E_BR_RP_      Nper          __Fe_H_temp    RA_ICRS       e_RA_ICRS         DE_ICRS       e_DE_ICRS         Source        Plx         e_Plx         pmRA        e_pmRA        pmDE        e_pmDE        Dup          FG          e_FG    Gmag        e_Gmag         FBP      e_FBP       BPmag       e_BPmag        FRP         e_FRP          RPmag      e_RPmag    BP-RP       RV      e_RV    Teff     AG    EBR-RP_    Rad     Lum    Pmemb    Cluster    
 0.4592 -0.5017  0.0046   752.707    51.368    91.164 1.36   9  --- 277.68384311549 0.1502 -12.48470684568 0.1497 4153027805212850176   0.3541  0.1593   0.439 0.293  -0.516 0.24  1      1685.2        2.2388  17.6218 0.0014       660.6         12.86     18.3015 0.0211       1630.4       17.884    16.7312 0.0119  1.5704    ---   ---     ---  ---    ---      ---      ---     0.5   Dias_6 
 0.0796 -0.3079  0.14    1838.629   395.371   372.163 1.318 11  --- 277.74810662867 0.0341 -12.44196294809 0.033  4153029347105842432   0.2937  0.0374   0.996 0.066  -0.022 0.057 0     18772.0       10.21    15.0046 0.0006      6585.1         16.656    15.805  0.0027      18159.0       48.793    14.1142 0.0029  1.6908    ---   ---  4261.33 ---    ---      6.44    12.305   0.2   Dias_6 
 0.5397 -0.394  -0.0257   852.565    40.518   129.063 1.376  9  --- 277.59552802824 0.1075 -12.50215091454 0.1045 4153028110155185024   0.3685  0.104    0.49  0.208  -0.287 0.182 0      2863.7        3.3589  17.046  0.0013       948.73        23.415    17.9085 0.0268       2992.0       23.182    16.072  0.0084  1.8365    ---   ---  3991.69 2.4073 1.2337   ---      ---     0.3   Dias_6 
 0.3313 -0.3516  0.0693   644.13    173.586   227.791 1.33  11  --- 277.73016205247 0.0437 -12.39796445685 0.0435 4153030794536184576   0.3571  0.0466   0.477 0.083  -1.398 0.074 0     11322.0       17.577   15.5536 0.0017      3907.3         22.509    16.3717 0.0063      11153.0       48.961    14.6434 0.0048  1.7283    ---   ---  4060.5  1.4683 0.749    4.8      5.636   0.1   Dias_6 
 0.5187 -0.4041 -0.0128  1988.035   307.913   494.12  1.397 10  --- 277.67686737372 0.0395 -12.45883641596 0.0385 4153027977037020544   0.2835  0.0389   0.367 0.077  -1.351 0.07  0     25171.0       12.661   14.6861 0.0005      6912.1         22.448    15.7524 0.0035      28257.0       57.186    13.6341 0.0022  2.1183    ---   ---  3834.65 1.809  0.8965   ---      ---     0.1   Dias_6 
 0.6152 -0.3589  0.0829  1089.244   120.804   249.037 1.497  9  --- 277.6137873613  0.0988 -12.45159060307 0.1002 4153028934788972928   0.1758  0.0954   0.714 0.183  -0.303 0.168 0     11157.0       10.243   15.5695 0.001       2242.8         18.566    16.9744 0.009       14465.0       58.083    14.3611 0.0044  2.6132    ---   ---  3713.37 2.5385 1.2807   ---      ---     0.8   Dias_6 
 0.3348 -0.3201  0.0753  1072.225   229.727   186.22  1.341 10  --- 277.63214177833 0.0593 -12.49361038957 0.0577 4153028183196060544   0.3152  0.0613   1.195 0.114  -0.307 0.103 0      6949.7        6.4816  16.0834 0.001       2915.8         12.692    16.6895 0.0047       6400.4       34.37     15.2464 0.0058  1.4431    ---   ---  4475.0  2.868  1.43     ---      ---     0.1   Dias_6 
 0.4684 -0.2264  0.1351   744.058    26.908    79.592 1.471 10  --- 277.58653847883 0.1418 -12.46113124293 0.1377 4153028526792900608   0.2338  0.1439   0.465 0.251  -0.809 0.234 0      1520.4        2.0433  17.7335 0.0015       547.7         20.355    18.505  0.0404       1689.5       21.227    16.6925 0.0136  1.8125    ---   ---     ---  ---    ---      ---      ---     0.5   Dias_6 
 0.4706 -0.3386 -0.0772   611.286    70.302    62.718 1.435 10  --- 277.72877575565 0.1453 -12.40649745887 0.1429 4153030416579052928   0.4883  0.1396   0.716 0.266  -0.695 0.242 0      1628.5        2.664   17.6589 0.0018       674.09         9.5885   18.2796 0.0154       1662.9       26.514    16.7097 0.0173  1.5699    ---   ---     ---  ---    ---      ---      ---     0.3   Dias_6 
 0.3338 -0.3762  0.217    811.023   110.161   169.391 1.324  9  --- 277.7255831612  0.1072 -12.47602211677 0.1198 4153027667799318400   0.5273  0.1329   0.142 0.176  -0.7   0.158 0      2594.8        3.1994  17.1531 0.0013      1078.7          9.7922   17.7691 0.0099       2357.0       13.915    16.331  0.0064  1.4381    ---   ---     ---  ---    ---      ---      ---     0.3   Dias_6 
 0.0899 -0.4612  0.3252   918.54     78.032   177.239 1.352  9  --- 277.79307670603 0.0812 -12.39555796691 0.0915 4153029935543248000   0.4247  0.1137   0.934 0.162  -0.754 0.141 0      3358.0        3.6557  16.8732 0.0012      1421.8         18.221    17.4693 0.0139       3119.6       17.601    16.0267 0.0061  1.4426    ---   ---  4509.29 1.942  0.976    ---      ---     0.2   Dias_6 
 0.5644 -0.3523  0.015    671.468    22.81     47.154 1.448 10  --- 277.72730280864 0.1406 -12.41209366689 0.1399 4153030416579047808   0.4188  0.1356  -0.255 0.273  -1.298 0.261 0      1651.6        2.4596  17.6436 0.0016       676.32        29.65     18.276  0.0476       1714.8       36.367    16.6764 0.023   1.5997    ---   ---     ---  ---    ---      ---      ---     0.2   Dias_6 
 0.4013 -0.365   0.0716   783.335    48.787    93.676 1.538 10  --- 277.76443697653 0.1113 -12.41465196735 0.1117 4153029965581182592   0.3714  0.118    0.159 0.208   0.352 0.187 0      1885.6        2.4072  17.4997 0.0014       635.61        13.028    18.3434 0.0223       2263.6       24.164    16.3749 0.0116  1.9685    ---   ---     ---  ---    ---      ---      ---     0.1   Dias_6 
