  pmRApmDEcor    PlxpmRAcor   PlxpmDEcor    RFG        RFBP          RFRP       E_BR_RP_      Nper          __Fe_H_temp    RA_ICRS       e_RA_ICRS         DE_ICRS       e_DE_ICRS         Source        Plx         e_Plx         pmRA        e_pmRA        pmDE        e_pmDE        Dup          FG          e_FG    Gmag        e_Gmag         FBP      e_FBP       BPmag       e_BPmag        FRP         e_FRP          RPmag      e_RPmag    BP-RP       RV      e_RV    Teff     AG    EBR-RP_    Rad     Lum    Pmemb    Cluster    
 0.3539 -0.2163 -0.1608  3912.543  1097.287  2122.01  1.205 13  0.0 301.17344382523 0.0342 -10.85679482907 0.0201 4190830629887762304   2.2326  0.0365   1.625 0.072  -8.032 0.043 0    333710.0       85.293   11.8799 0.0003    187440.0        170.82     12.1692 0.001      214530.0      101.1      11.4332 0.0005  0.736   -10.38  2.56 6250.0  0.481  0.2338   1.37     2.597   1.0   Alessi_10
 0.3167 -0.4069 -0.2249  1037.12     53.351   264.502 1.449 14  --- 301.26176410225 0.0845 -10.55744904275 0.0564 4190845095337762560   2.0833  0.1046   1.25  0.175  -7.465 0.117 0      2550.9        2.4596  17.1716 0.001        530.9          9.951    18.5389 0.0204       3164.5       11.964    16.0112 0.0041  2.5277    ---   ---     ---  ---    ---      ---      ---     0.7   Alessi_10
 0.1935 -0.4182 -0.2041  5519.765  1129.303  1773.066 1.205 14  0.0 301.48702804611 0.0329 -10.62941321702 0.0199 4190863477797633024   2.2208  0.0418   1.481 0.071  -7.671 0.043 1    315740.0       57.202   11.94   0.0002    176910.0        156.65     12.232  0.001      203560.0      114.8      11.4902 0.0006  0.7418  -15.04  0.83 6254.0  0.36   0.16     1.34     2.483   1.0   Alessi_10
 0.4181 -0.6157 -0.1523   837.592   210.101   253.805 1.288 13  --- 301.68716661398 0.0437 -10.52562970342 0.0288 4190860041823766528   2.2054  0.062    1.502 0.102  -7.742 0.062 0     12034.0       14.368   15.4873 0.0013      4439.1         21.128    16.2331 0.0052      11059.0       43.572    14.6527 0.0043  1.5805    ---   ---  4336.0  0.478  0.2257   0.65     0.135   1.0   Alessi_10
 0.1934 -0.2604 -0.273    808.364    30.73    158.694 1.451 13  --- 301.14593349778 0.1388 -10.88084183354 0.0767 4190829010682806016   2.0388  0.1482   2.043 0.291  -7.889 0.159 0      1353.1        1.6739  17.86   0.0013       273.89         8.9128   19.2574 0.0353       1690.0       10.65     16.6922 0.0068  2.5653    ---   ---     ---  ---    ---      ---      ---     0.8   Alessi_10
 0.3528 -0.3999 -0.254   1217.158   111.864   369.08  1.399 14  --- 301.26440209974 0.0816 -10.71943116418 0.0523 4190838292109462144   2.3854  0.0985   1.667 0.17   -8.11  0.11  0      5268.6        4.3286  16.3841 0.0009      1351.8         12.084    17.5241 0.0097       6016.8       16.302    15.3135 0.0029  2.2106    ---   ---  3552.0  ---    ---      0.76     0.083   1.0   Alessi_10
 0.3358 -0.3603 -0.2153  1680.839   304.729   407.804 1.293 14  --- 301.34513977234 0.0294 -10.67411112961 0.0193 4190840284974275840   2.268   0.0352   1.381 0.061  -7.01  0.041 0     20927.0       12.45    14.8866 0.0006      7875.3         25.844    15.6107 0.0036      19182.0       47.036    14.0547 0.0027  1.556     ---   ---  4408.5  ---    ---      0.79     0.214   0.6   Alessi_10
 0.1726 -0.2094 -0.2965   926.153    35.691   229.363 1.435 12  --- 300.67211319491 0.1123 -10.60602150894 0.0694 4190946765804251904   2.2822  0.1212   1.415 0.234  -7.613 0.142 0      1767.1        1.908   17.5702 0.0012       383.03        10.732    18.8933 0.0304       2153.5        9.389    16.4291 0.0047  2.4642    ---   ---     ---  ---    ---      ---      ---     1.0   Alessi_10
 0.1977 -0.3693 -0.2908  3232.483   810.573  1162.198 1.211 13  0.0 300.53459950206 0.0372 -10.80037325763 0.0217 4190936870199545472   2.1801  0.0443   1.393 0.074  -7.777 0.044 0    176110.0       54.482   12.5739 0.0003     95008.0        117.21     12.907  0.0013     118260.0      101.76     12.0798 0.0009  0.8272  -16.07  3.93 5864.0  0.2405 0.1517   1.17     1.456   1.0   Alessi_10
 0.3838 -0.3873 -0.1848  1889.511   619.627   757.457 1.218 14  --- 301.23611337528 0.0258 -10.50536280023 0.0173 4191033524142530176   2.2938  0.0316   1.724 0.056  -7.711 0.039 0    122970.0       65.082   12.9638 0.0006     63436.0        102.38     13.3455 0.0018      86330.0      113.97     12.4215 0.0014  0.924     ---   ---  5412.0  0.3892 0.1805   1.11     0.953   1.0   Alessi_10
 0.3697 -0.53   -0.3862  1144.484   146.816   402.005 1.363 11  --- 301.14796732056 0.0802 -10.58286403623 0.047  4191031325119267200   2.0807  0.1114   1.426 0.167  -7.71  0.093 0      3961.5        3.4614  16.6937 0.0009      1127.3          7.6781   17.7213 0.0074       4270.6       10.623    15.6857 0.0027  2.0356    ---   ---  4015.95 0.6433 0.315    0.51     0.06    0.9   Alessi_10
 0.2234 -0.5137 -0.1735  1063.82     84.332   249.218 1.453 14  --- 301.23960264931 0.1031 -10.53849985819 0.0644 4191032836947740544   2.2628  0.1319   1.169 0.225  -8.184 0.133 0      2273.4        2.137   17.2967 0.001        473.76         5.6177   18.6625 0.0129       2828.9       11.351    16.1329 0.0044  2.5296    ---   ---     ---  ---    ---      ---      ---     1.0   Alessi_10
 0.2692 -0.4005 -0.2337   891.11    139.08    247.881 1.359 14  --- 301.39018416147 0.0745 -10.40970287475 0.0489 4191059087787860608   2.3518  0.0934   1.512 0.167  -7.774 0.104 0      3710.1        4.1635  16.7649 0.0012      1030.7          7.4107   17.8186 0.0078       4010.0       16.177    15.754  0.0044  2.0645    ---   ---  4096.63 0.0163 0.0095   ---      ---     1.0   Alessi_10
 0.1633 -0.228  -0.5343  1407.305   415.308   841.929 1.161 10  --- 301.09853984108 0.0954 -10.5530068304  0.0442 4191032390271202304   2.3481  0.1083   1.361 0.134  -7.929 0.106 1   1608500.0     1142.9     10.1723 0.0008   1055700.0       2542.0      10.2925 0.0026     811520.0      963.88      9.9887 0.0013  0.3039    ---   ---  7840.0  ---    ---      1.86    11.78    1.0   Alessi_10
 0.1897 -0.3792 -0.2283  2141.53    785.855  1007.394 1.22  14  --- 301.30114928016 0.02   -10.46344170254 0.0121 4191057060563305984   2.258   0.0249   1.408 0.043  -7.899 0.026 0    105920.0       49.462   13.1259 0.0005     54398.0         69.222    13.5124 0.0014      74855.0       74.306    12.5764 0.0011  0.9361    ---   ---  5339.0  0.212  0.1035   1.08     0.855   1.0   Alessi_10
 0.3212 -0.4156 -0.3104   976.892   288.875   329.644 1.231 14  --- 300.93955073882 0.0204 -10.59667830313 0.0124 4191028713779247360   2.2378  0.0241   1.553 0.041  -8.022 0.025 0     72060.0       73.764   13.5441 0.0011     35024.0        121.24     13.9905 0.0038      53695.0      162.89     12.9371 0.0033  1.0534    ---   ---  5448.83 0.3982 0.1917   0.86     0.584   1.0   Alessi_10
 0.3062 -0.387  -0.2877  1589.518   261.29    302.725 1.267 14  --- 300.99007093707 0.0305 -10.66862992266 0.0191 4191025002927277568   2.2374  0.0348   1.228 0.062  -8.641 0.038 0     19672.0       12.376   14.9538 0.0007      8006.0         30.64     15.5928 0.0042      16927.0       55.914    14.1905 0.0036  1.4023    ---   ---  4574.55 ---    ---      0.7      0.194   0.7   Alessi_10
 0.3302 -0.3077 -0.3227  7137.98   1233.763  1506.502 1.225 13  0.0 300.36121726702 0.0352 -10.35423911648 0.0208 4191015931957874560   2.2821  0.0397   0.859 0.07   -7.186 0.041 1    196100.0       27.472   12.4572 0.0002     93702.0         75.948    12.922  0.0009     146530.0       97.265    11.8471 0.0007  1.0749  -50.03  0.81 5068.42 ---    ---      1.65     1.619   0.4   Alessi_10
 0.2913 -0.2378 -0.2311   714.381    51.552   164.776 1.452 13  --- 301.03494684073 0.1437 -10.63162260987 0.0877 4191025552683247232   2.3653  0.157    1.557 0.296  -8.08  0.183 0      1508.9        2.1122  17.7417 0.0015       319.14         6.1907   19.0914 0.0211       1871.6       11.359    16.5814 0.0066  2.5101    ---   ---     ---  ---    ---      ---      ---     1.0   Alessi_10
 0.2335 -0.4193 -0.1932  1017.842   293.042   421.841 1.237 14  --- 301.23256513257 0.0238 -10.47797620127 0.0149 4191033695941241216   2.2309  0.0301   1.415 0.052  -7.781 0.032 0     43719.0       42.953   14.0867 0.0011     20131.0         68.698    14.5917 0.0037      33929.0       80.431    13.4355 0.0026  1.1562    ---   ---  4929.0  0.292  0.1815   0.86     0.389   1.0   Alessi_10
 0.2242 -0.2611 -0.2528  1310.991   960.365  1698.707 1.187 14  --- 301.13085175578 0.0353 -10.50848164661 0.0232 4191034039538658176   2.2281  0.0425   1.528 0.076  -7.918 0.051 0    543720.0      414.74    11.3499 0.0008    324330.0        337.72     11.5739 0.0011     320910.0      188.92     10.9959 0.0006  0.578     ---   ---  6631.44 0.617  0.3245   1.56     4.236   1.0   Alessi_10
 0.1433 -0.658  -0.2734  1033.492    90.988   119.046 1.402 12  --- 301.18260405112 0.0744 -10.3530586753  0.0455 4191062523761840256   2.1125  0.1076   1.751 0.18   -7.574 0.089 0      4293.3        4.1542  16.6064 0.0011      1313.9         14.44     17.555  0.0119       4706.6       39.536    15.5802 0.0091  1.9748    ---   ---  3835.39 0.6003 0.31     0.6      0.071   1.0   Alessi_10
 0.2531 -0.5817 -0.1418   887.278    70.191   307.844 1.382 13  --- 301.3609159634  0.0821 -10.2207372823  0.0521 4191070529580877568   2.1628  0.1126   1.949 0.189  -7.527 0.104 0      2878.3        3.244   17.0405 0.0012       734.3         10.462    18.1867 0.0155       3243.0       10.534    15.9846 0.0035  2.2021    ---   ---  4111.89 0.617  0.3225   ---      ---     1.0   Alessi_10
-0.0349 -0.2538 -0.2283  5880.868  1052.832  1454.711 1.211 13  0.0 301.22060740527 0.0539 -10.43140167661 0.0331 4191058228794474624   2.0669  0.0622   1.854 0.122  -7.626 0.073 0    278340.0       47.329   12.0769 0.0002    152850.0        145.18     12.3908 0.001      184090.0      126.55     11.5993 0.0007  0.7914   -3.04  4.13 5918.25 0.822  0.405    1.52     2.554   1.0   Alessi_10
 0.2878 -0.3043 -0.2388  2238.416  1506.701  1692.235 1.166 14  --- 301.15938835421 0.0427 -10.56546662802 0.0288 4191031428199218176   2.292   0.0515   0.972 0.092  -7.862 0.064 0   1756400.0      784.66    10.0768 0.0005   1172500.0        778.21     10.1786 0.0007     874590.0      516.83      9.9074 0.0006  0.2712    ---   ---  7921.0  0.4907 0.224    1.96    13.605   1.0   Alessi_10
 0.2491 -0.4351 -0.2399   808.319    56.217   281.167 1.446 14  --- 301.07934223836 0.109  -10.43279038385 0.0746 4191038368865766400   2.1919  0.129    1.521 0.227  -7.178 0.153 0      1813.3        2.2433  17.5422 0.0013       385.39         6.8554   18.8866 0.0193       2236.5        7.9544   16.388  0.0039  2.4986    ---   ---     ---  ---    ---      ---      ---     0.9   Alessi_10
 0.2903 -0.4104 -0.2399   573.011    78.132   238.716 1.372 13  --- 300.74851360794 0.0797 -10.49110697969 0.0516 4191045928007980288   2.1009  0.0913   1.916 0.166  -7.75  0.11  0      3931.5        6.8612  16.702  0.0019      1061.3         13.583    17.7868 0.0139       4334.5       18.157    15.6696 0.0045  2.1172    ---   ---  4126.37 1.0945 0.5792   ---      ---     0.9   Alessi_10
 0.2219 -0.4054 -0.1995  1440.161   473.02    630.228 1.229 14  --- 300.89631835744 0.0226 -10.26773716878 0.0146 4191056167210438912   2.2403  0.0278   1.476 0.048  -7.929 0.03  0     48828.0       33.905   13.9667 0.0008     22879.0         48.369    14.4528 0.0023      37125.0       58.908    13.3377 0.0017  1.115     ---   ---  5019.14 0.2165 0.117    0.86     0.423   1.0   Alessi_10
 0.261  -0.3829 -0.133   1138.0      40.403   252.831 1.404 13  --- 301.23690361598 0.0956 -10.43806212417 0.0609 4191058056995771392   2.1206  0.1155   1.499 0.212  -7.537 0.133 0      2250.4        1.9775  17.3077 0.001        556.32        13.769    18.4881 0.0269       2603.4       10.297    16.2231 0.0043  2.265     ---   ---     ---  ---    ---      ---      ---     1.0   Alessi_10
 0.3602 -0.5275 -0.2712  1438.149   193.939   595.972 1.298 13  --- 300.93744785407 0.039  -10.40320252421 0.0256 4191049810658730496   2.2644  0.0495   1.54  0.082  -7.961 0.051 0     10224.0        7.1092  15.6643 0.0008      3666.8         18.907    16.4407 0.0056       9608.1       16.122    14.8053 0.0018  1.6353    ---   ---  4309.5  0.205  0.1065   0.6      0.11    1.0   Alessi_10
 0.2649 -0.3273 -0.2039  1958.597  1504.94   1542.633 1.162 14  --- 301.24745784355 0.0415 -10.43320522676 0.0264 4191058056995767808   2.2792  0.0513   1.272 0.091  -7.86  0.057 1   2106700.0     1075.6      9.8793 0.0006   1430400.0        950.48      9.9627 0.0007    1017300.0      659.48      9.7433 0.0007  0.2195    ---   ---  8214.67 0.565  0.2837   ---      ---     1.0   Alessi_10
 0.3305 -0.3193 -0.2925  2356.747   656.952   976.971 1.221 12  --- 300.46218325195 0.0218 -10.57717367174 0.0123 4190996037669183616   2.1952  0.023    1.426 0.043  -7.933 0.025 0     79854.0       33.883   13.4326 0.0005     39794.0         60.574    13.8518 0.0017      57679.0       59.038    12.8594 0.0011  0.9924    ---   ---  5334.67 0.2313 0.1108   0.97     0.682   1.0   Alessi_10
 0.1495 -0.3894 -0.2272  1172.118   245.379   374.985 1.281 14  --- 301.30792423463 0.0304 -10.45046651349 0.0186 4191057090624599296   2.2714  0.0374   1.595 0.066  -7.801 0.039 0     20488.0       17.479   14.9096 0.0009      8043.7         32.781    15.5878 0.0044      18211.0       48.563    14.1111 0.0029  1.4766    ---   ---  4627.98 ---    ---      0.68     0.192   1.0   Alessi_10
 0.2481 -0.221  -0.2181   815.493   116.105   271.125 1.391 13  --- 300.97444129256 0.1024 -10.74515229494 0.0599 4191022288507940864   2.2418  0.1098   1.277 0.217  -7.6   0.126 0      2742.7        3.3633  17.0929 0.0013       714.11         6.1506   18.217  0.0094       3101.9       11.441    16.0328 0.004   2.1841    ---   ---     ---  ---    ---      ---      ---     1.0   Alessi_10
 0.3272 -0.4391 -0.2745  1069.759   127.391   292.27  1.381 14  --- 301.24473504943 0.0795 -10.49133285771 0.0531 4191033627221751424   2.2655  0.101    1.392 0.169  -7.845 0.11  0      4365.5        4.0808  16.5883 0.001       1199.5          9.4158   17.6539 0.0085       4831.0       16.529    15.5518 0.0037  2.1021    ---   ---  3666.7  0.828  0.42     0.66     0.07    1.0   Alessi_10
 0.1805 -0.2191 -0.2242  2196.403   710.385   985.651 1.158 14  --- 301.20060711733 0.0484 -10.52173126274 0.0321 4191033180545154432   2.2829  0.0578   1.339 0.108  -7.929 0.07  0   2439500.0     1110.7      9.7201 0.0005   1692700.0       2382.8       9.7799 0.0015    1131400.0     1147.9       9.6279 0.0011  0.152     ---   ---  8700.0  0.4437 0.2358   ---      ---     1.0   Alessi_10
 0.3291 -0.3071 -0.2473  1987.524   895.63   1468.854 1.174 13  --- 301.16542298005 0.0375 -10.55725226026 0.0254 4191031462558229888   2.2043  0.0453   1.694 0.079  -7.863 0.055 0    872820.0      439.15    10.836  0.0005    559020.0        624.17     10.9828 0.0012     465250.0      316.75     10.5927 0.0007  0.3901    ---   ---  7570.97 0.528  0.262    1.55     7.116   1.0   Alessi_10
 0.3722 -0.3995 -0.1444  3482.093  1078.515  1504.452 1.176 14  --- 301.54997779535 0.0342 -10.25445307557 0.0214 4191067918240644992   2.2937  0.0432   1.417 0.074  -8.062 0.046 0    953040.0      273.7     10.7406 0.0003    596580.0        553.15     10.9122 0.001      524280.0      348.49     10.463  0.0007  0.4492    ---   ---  7293.0  0.826  0.4057   1.67     7.086   1.0   Alessi_10
 0.3573 -0.1767 -0.2104   751.191    31.842   155.733 1.428 12  --- 301.18212987168 0.1436 -10.5325684501  0.0898 4191033038807487360   2.1881  0.167    1.523 0.313  -8.046 0.195 0      1235.0        1.6441  17.9592 0.0014       271.24         8.5185   19.268  0.0341       1492.4        9.5832   16.8272 0.007   2.4408    ---   ---     ---  ---    ---      ---      ---     1.0   Alessi_10
